ID  объявления,Адрес,Дом,Парковка,Цена,Ремонт,"Площадь комнат, м2",Балкон,Окна,Санузел,Можно с детьми/животными,Дополнительно,Название ЖК,Серия дома,"Высота потолков, м",Лифт,Мусоропровод,пропуски,Количество_комнат,Описание_комнат,Название метро,Время_мин,Тип_транспорта,Общая_площадь,Жилая_площадь,Площадь_кухни
271381970,"Москва, улица Академика Волгина, 8А","16/20, Монолитный",многоуровневая,"125000.0 руб./ За месяц, Залог - 125000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,28-20-19,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","Светлый город, 2010",,3.0,"Пасс (2), Груз (1)",Да,1,3,Изолированная,м. Беляево,12.0,пешком,107.0,67.0,15.0
274689762,"Москва, Дмитровское шоссе, 169К6, ш. Москва-Санкт-Петербург, M-11 (8 км до МКАД)","5/17, Панельный",наземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,21-18-16,Лоджия (1),На улицу,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет","На Дмитровском 169, 2015",,2.7,"Пасс (2), Груз (1)",Да,1,3,Изолированная,м. Новодачная,15.0,пешком,96.0,55.0,13.0
212431758,"Москва, Зеленый проспект, 62К2","5/12, Блочный",подземная,"52999.0 руб./ За месяц, Залог - 52999 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,21-16,"Балкон (1), Лоджия (1)",На улицу и двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон",,П-46,2.64,"Пасс (2), Груз (1)",Да,1,2,Изолированная,м. Новогиреево,1.0,пешком,65.0,37.0,10.0
273812864,"Москва, улица Шаболовка, 23к5","11/21, Монолитный",подземная,"170000.0 руб./ За месяц, Залог - 170000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,29.5 11.6 12.1 16.6,Лоджия (1),На улицу и двор,"Совмещенный (1), Раздельный (1)",Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",Созвездие Капитал-1,,3.2,"Пасс (1), Груз (1)",Нет,1,4,Обычная,м. Шаболовская,7.0,пешком,103.0,69.8,8.8
272664986,"Москва, Часовая улица, 19к3","20/23, Монолитный",подземная,"290000.0 руб./ За месяц, Залог - 290000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,30 20 25 18,Балкон (1),На улицу и двор,Совмещенный (2),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",Весна на Балтийском,,2.8,"Пасс (1), Груз (1)",Да,1,4,Обычная,м. Сокол,10.0,пешком,162.0,93.0,10.0
261526612,"Москва, Якиманский переулок, 6","2/16, Монолитно-кирпичный",подземная,"750000.0 руб./ За месяц, Залог - 750000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,32 14 13 54,Балкон (1),На улицу и двор,"Совмещенный (2), Раздельный (1)","Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",Имперский дом,,3.2,"Пасс (1), Груз (1)",Нет,1,4,Обычная,м. Октябрьская,5.0,пешком,169.0,113.0,15.0
273740725,"Москва, Ташкентский переулок, 1","9/9, Панельный",наземная,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - На несколько месяцев, Предоплата 1 мес",Косметический,18+9+9-10,Балкон (1),На улицу и двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,П-49Д,2.64,Пасс (1),Да,1,4,Оба варианта,м. Юго-Восточная,3.0,пешком,65.0,46.0,6.0
271428169,"Москва, Ленинградский проспект, 52","5/14, Монолитно-кирпичный",подземная,"230000.0 руб./ За месяц, Залог - 230000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,30 18 12 38,Лоджия (1),На улицу и двор,Совмещенный (2),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",Помидор,,3.2,"Пасс (2), Груз (1)",Нет,1,4,Обычная,м. Аэропорт,10.0,пешком,132.0,98.0,16.0
274642075,"Москва, Профсоюзная улица, 98К6","5/17, Панельный",наземная,"60000.0 руб./ За месяц, Залог - 60000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,18-15,Балкон (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,и п,2.7,"Пасс (2), Груз (1)",Да,1,2,Обычная,м. Беляево,10.0,пешком,56.0,33.0,8.0
269249000,"Москва, улица Удальцова, 17К1","25/25, Кирпичный",подземная,"130000.0 руб./ За месяц, Залог - 130000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,18 40 12,Лоджия (1),На улицу и двор,"Совмещенный (1), Раздельный (1)",Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",Квартал на Ленинском,,3.0,"Пасс (2), Груз (2)",Да,1,3,Обычная,м. Проспект Вернадского,7.0,пешком,90.0,70.0,10.0
273005367,"Москва, улица Преображенский Вал, 26","14/16, Панельный",наземная,"55000.0 руб./ За месяц, Залог - 55000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,17-15,Лоджия (2),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник, Интернет",,П-68-01/16Ю,2.48,Пасс (2),Да,1,2,Изолированная,м. Семеновская,8.0,пешком,51.1,32.0,12.0
272664984,"Москва, Часовая улица, 23к1","18/23, Монолитный",подземная,"290000.0 руб./ За месяц, Залог - 290000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,30 25 20 18,Балкон (1),На улицу и двор,"Совмещенный (2), Раздельный (1)","Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",Весна на Балтийском,,2.8,"Пасс (1), Груз (1)",Да,1,4,Обычная,м. Сокол,10.0,пешком,162.0,93.0,10.0
272713357,"Москва, улица Маршала Бирюзова, 31","3/14, Монолитно-кирпичный",открытая,"180000.0 руб./ За месяц, Залог - 180000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,30 20 20 20,Лоджия (1),На улицу и двор,Совмещенный (2),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","Маршала Бирюзова, 31-33",,3.5,"Пасс (1), Груз (1)",Нет,1,4,Обычная,м. Октябрьское поле,8.0,пешком,174.0,90.0,12.0
274899107,"Москва, Беломорская улица, 12","11/12, Панельный",наземная,"45000.0 руб./ За месяц, Залог - 45000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,20,Лоджия (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,П18/22,3.0,"Пасс (1), Груз (1)",Да,1,1,Обычная,м. Беломорская,5.0,пешком,36.0,20.0,10.0
241850255,"Москва, проспект Защитников Москвы, 12, ш. Новорязанское (10 км до МКАД)","16/17, Панельный",наземная,"39000.0 руб./ За месяц, Залог - 35000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,15-18,Балкон (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет","Некрасовка-Парк, 2013",,2.74,Пасс (2),Да,1,2,Изолированная,м. Некрасовка,4.0,пешком,53.0,40.0,10.0
273793299,"Москва, Коломенская улица, 12к2","3/19, Монолитный",наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,18-14,Лоджия (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон","Ривер Парк, 2016",,2.8,"Пасс (2), Груз (1)",Да,1,2,Изолированная,м. Коломенская,4.0,на машине,55.0,32.0,10.0
274193115,"Москва, Профсоюзная улица, 64к2","7/40, Монолитный",подземная,"170000.0 руб./ За месяц, Залог - 170000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,25 17 16,Лоджия (1),На улицу и двор,"Совмещенный (1), Раздельный (1)",Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Холодильник, Интернет",Дирижабль,,2.8,"Пасс (2), Груз (2)",Нет,1,3,Обычная,м. Новые Черемушки,7.0,пешком,110.0,58.0,21.0
274952365,"Москва, Митинская улица, 37, ш. Пятницкое (4 км до МКАД)","8/14, Панельный",наземная,"35000.0 руб./ За месяц, Залог - 35000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,19,Лоджия (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет",,П 44,2.65,"Пасс (1), Груз (1)",Да,1,1,Обычная,м. Митино,5.0,пешком,38.0,19.0,8.5
273976447,"Москва, улица Мельникова, 3к7","17/19, Монолитный",подземная,"130000.0 руб./ За месяц, Залог - 130000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,25-25-20,Лоджия (1),На улицу и двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","На ул. Мельникова, 2017",,2.85,"Пасс (1), Груз (1)",Да,1,3,Изолированная,м. Волгоградский проспект,,,120.0,70.0,20.0
271698718,"Санкт-Петербург, улица Пейзажная, 6","8/25, Панельный",наземная,"21000.0 руб./ За месяц, Сумма коммунальных платежей - 2500.0 руб., Залог - 21000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,11,Балкон (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет","Цветной Город, 2021",,2.6,"Пасс (3), Груз (1)",Нет,1,1,Обычная,м. Гражданский проспект,9.0,на машине,36.0,15.0,
274751378,"Москва, Ленинский проспект, 98К1","11/30, Монолитный",подземная,"230000.0 руб./ За месяц, Залог - 230000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,39 22 21 19,Лоджия (1),На улицу и двор,Совмещенный (2),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",Квартал на Ленинском,,3.0,"Пасс (1), Груз (1)",Да,1,4,Обычная,м. Проспект Вернадского,15.0,пешком,179.0,101.0,22.0
274472133,"Москва, улица Седова, 2К1","17/17, Панельный",наземная,"60000.0 руб./ За месяц, Залог - 60000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,20-19-15,Лоджия (2),На улицу и двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник, Интернет",,П-44Т,2.7,Пасс (2),Да,1,3,Изолированная,м. Свиблово,6.0,пешком,82.0,54.0,10.5
274715805,"Москва, Клинская улица, 14к2","9/17, Монолитный",наземная,"30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - На несколько месяцев, Предоплата 1 мес",Косметический,20,Лоджия (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,П-44Т,2.7,Пасс (2),Да,1,1,Обычная,м. Беломорская,12.0,пешком,39.0,20.0,8.0
272291391,"Москва, Большая Грузинская улица, 69","9/9, Монолитно-кирпичный",подземная,"400000.0 руб./ За месяц, Залог - 400000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,12 20 16 15,Лоджия (1),На улицу и двор,Совмещенный (2),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет",Четыре Ветра,,4.0,"Пасс (1), Груз (1)",Нет,1,3,Обычная,м. Белорусская,3.0,пешком,120.0,63.0,14.0
274937128,"Москва, Цимлянская улица, 3к1","17/17, Монолитный",наземная,"43000.0 руб./ За месяц, Залог - 43000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,14,Лоджия (1),Во двор,Совмещенный (1),Можно с животными,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет","Влюблино, 2019",,2.65,"Пасс (1), Груз (1)",Да,1,1,Обычная,м. Люблино,17.0,пешком,34.0,14.0,11.0
271172468,"Москва, Береговая улица, 4К2","2/6, Монолитно-кирпичный",подземная,"350000.0 руб./ За месяц, Залог - 350000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,50 14 16 20,Балкон (1),Во двор,Совмещенный (2),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",Покровский берег,,3.0,"Пасс (1), Груз (1)",Да,1,4,Обычная,м. Сокол,15.0,на машине,206.0,100.0,16.0
274298007,"Москва, Покровская улица, 12, ш. Новорязанское (10 км до МКАД)","12/25, Монолитный",наземная,"35000.0 руб./ За месяц, Залог - 17000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,19,Лоджия (1),На улицу,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Холодильник","Некрасовка, 2017",П44Т/25,2.7,"Пасс (2), Груз (1)",Да,1,1,Обычная,м. Некрасовка,7.0,пешком,38.6,19.0,9.0
234749605,"Москва, улица Введенского, 24К2","7/17, Панельный",наземная,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,18-14,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,П - 3М,2.64,"Пасс (1), Груз (1)",Да,1,2,Изолированная,м. Беляево,7.0,пешком,54.0,32.0,9.0
272889492,"Москва, улица 1-я Машиностроения, 10","10/30, Монолитно-кирпичный",подземная,"134999.0 руб./ За месяц, Залог - 134999 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,13-19-23,Балкон (1),Во двор,Совмещенный (2),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","Дубровская Слобода, 2012",,3.0,"Пасс (2), Груз (1)",Да,1,3,Изолированная,м. Дубровка,,,80.0,55.0,10.0
274265880,"Москва, Базовская улица, 15к1","17/17, Панельный",наземная,"38000.0 руб./ За месяц, Залог - 38000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,20,Лоджия (1),Во двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет","На Базовской, 2014",П-46,3.0,"Пасс (1), Груз (1)",Да,1,1,Обычная,м. Ховрино,37.0,пешком,39.0,20.0,10.0
273369581,"Москва, улица Академика Янгеля, 2","4/23, Монолитный",подземная,"49000.0 руб./ За месяц, Залог - 24500 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","М-House, 2014",ИП,2.75,"Пасс (2), Груз (1)",Нет,1,1,Обычная,м. Улица Академика Янгеля,3.0,пешком,47.1,17.1,11.6
274440987,"Москва, улица Удальцова, 85А","9/18, Монолитный",подземная,"150000.0 руб./ За месяц, Залог - 150000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,35 20 20,Балкон (1),На улицу и двор,"Совмещенный (1), Раздельный (1)",Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",Вест Сайд,,3.2,"Пасс (3), Груз (2)",Да,1,3,Обычная,м. Проспект Вернадского,10.0,пешком,108.0,75.0,15.0
274867973,"Москва, Фестивальная улица, 29","18/35, Монолитный",подземная,"70000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,18,Лоджия (1),На улицу,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник","Фестиваль Парк, 2021",,3.0,"Пасс (2), Груз (2)",Да,1,1,Обычная,м. Речной вокзал,7.0,пешком,50.0,18.0,18.0
273476670,"Москва, бульвар Яна Райниса, 31","22/23, Монолитно-кирпичный",подземная,"180000.0 руб./ За месяц, Залог - 180000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,30 20 20 30 50 20,Лоджия (1),На улицу и двор,"Совмещенный (2), Раздельный (1)","Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",Балтийский квартет,,3.0,"Пасс (1), Груз (2)",Да,1,5,Обычная,м. Сходненская,15.0,пешком,225.0,170.0,20.0
269997160,"Москва, Давыдковская улица, 18","18/22, Монолитный",подземная,"200000.0 руб./ За месяц, Залог - 200000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,30 20 20,Лоджия (1),На улицу и двор,Совмещенный (2),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",Форт Кутузов,,3.0,"Пасс (1), Груз (2)",Нет,1,3,Обычная,м. Славянский бульвар,15.0,пешком,120.7,70.0,15.0
211611867,"Москва, Дмитровское шоссе, 107Ак1","2/18, Монолитный",подземная,"65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,20-15,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник","Город, 2018",,3.0,"Пасс (1), Груз (1)",Да,1,2,Изолированная,м. Селигерская,20.0,пешком,65.0,35.0,10.0
274949154,"Москва, Строгинский бульвар, 17К1","7/12, Панельный",наземная,"58000.0 руб./ За месяц, Залог - 55000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,12+19,Лоджия (1),На улицу и двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,П-30,2.8,Пасс (2),Да,1,2,Изолированная,м. Строгино,2.0,пешком,54.0,31.0,9.0
273663242,"Москва, 3-я Мытищинская улица, 3к1","10/17, Панельный",наземная,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,25-20-15,"Балкон (2), Лоджия (2)",Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон","Алексеево, 2010",,2.8,"Пасс (1), Груз (1)",Да,1,3,Изолированная,м. Алексеевская,1.0,пешком,90.0,60.0,11.0
